,data_source,definition,collection_layers,data_source_platform,data_component,description,source_data_element,relationship,target_data_element
0,file,"Information about file objects (All file systems) that represent computer resources that can be managed by the I/O system. This data source can be used as a reference to extend the concepts of other data sources such as driver, module, and network share.",['host'],"['Windows', 'Linux', 'macOS', 'Network']",file creation,A file was created.,process,created,file
1,windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],windows registry key creation,A registry key was created.,process,created,windows registry key
2,windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],windows registry key creation,A registry key was created.,process,created,windows registry key value
3,windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],windows registry key modification,A registry key was modified.,process,modified,windows registry key
4,windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],windows registry key modification,A registry key was modified.,process,modified,windows registry key value
5,windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],windows registry key modification,A registry key was modified.,user,modified,windows registry key
6,windows registry,Information about configuration data used by applications and system components.,['host'],['Windows'],windows registry key modification,A registry key was modified.,user,modified,windows registry key value
7,file,"Information about file objects (All file systems) that represent computer resources that can be managed by the I/O system. This data source can be used as a reference to extend the concepts of other data sources such as driver, module, and network share.",['host'],"['Windows', 'Linux', 'macOS', 'Network']",file modification,A file was modified.,process,modified,file
8,file,"Information about file objects (All file systems) that represent computer resources that can be managed by the I/O system. This data source can be used as a reference to extend the concepts of other data sources such as driver, module, and network share.",['host'],"['Windows', 'Linux', 'macOS', 'Network']",file modification,A file was modified.,user,modified,file
9,command,Information about commands that can be used through a command-line interface and/or script interpreter.,"['host', 'container']","['Windows', 'Linux', 'macOS', 'Network', 'Containers']",command execution,Information about commands executed through a command-line interface and/or script interpreter.,user,executed,command
10,command,Information about commands that can be used through a command-line interface and/or script interpreter.,"['host', 'container']","['Windows', 'Linux', 'macOS', 'Network', 'Containers']",command execution,Information about commands executed through a command-line interface and/or script interpreter.,process,executed,command
11,process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']",process creation,A process was created.,user,created,process
12,process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']",process creation,A process was created.,process,created,process
13,process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']",process creation,A process was created.,process,created,thread
14,module,"Information about module files consisting of one or more classes and interfaces, such as portable executable (PE) format executables/dynamic link libraries (DLL), executable and linkable format (ELF) executables/shared libraries, and Mach-O format executables/shared libraries.",['host'],"['Windows', 'Linux', 'macOS']",module load,A module was loaded into a process.,process,loaded,module
15,kernel,Information associated with the operating system kernel of a host.,['host'],"['Linux', 'macOS']",kernel module load,A kernel module was loaded on a host.,process,loaded,kernel module
16,driver,"Information associated with device drivers, or computer programs that operate or control a particular type of device that is attached to a computer.",['host'],"['Linux', 'macOS', 'Windows']",driver load,"A driver (User-mode, kernel-mode) was loaded.",process,loaded,driver
17,process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']",os api execution,A process executed operating system api functions.,process,executed,api call
18,process,Information about instances of computer programs that are being executed by at least one thread.,['host'],"['Windows', 'Linux', 'macOS']",os api execution,A process executed operating system api functions.,process,executed,system call
